TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,CONSUME_HIS_SEQ,CONSUME_HIS_SNO,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
e_e000308,2306040003,1,0,0,1,2,8085600487,꾸아(Qua),서울 성동구 서울숲4길 26-24,서울 성동구 성수동1가 668-59,4109319,1120011400,2023-06-04 13:28,1,35000,고기듬뿍쌀국수;분짜;스프라이트,
e_e002028,2306030003,3,1,1,1,2,1361177008,백운보트장,경기 의왕시 백운로 502,경기 의왕시 학의동 산 82-6,3201016,4143010600,2023-06-03 13:21,1,22000,보트 승선권구입,
e_e009334,2308260004,3,0,0,1,1,2218134988,온오프믹스,서울 강남구 도산대로54길 53,서울 강남구 논현동 102-7,4166284,1168010800,2023-08-26 00:00,1,42000,알폰스 무하 이모션 인 서울,
e_e000391,2305290002,1,0,0,1,4,1272178545,잉꼬칼국수,경기 구리시 체육관로171번길 11-4,경기 구리시 교문동 226-30,4388172,4131010400,2023-05-29 11:37,1,48000,칼국수(남);칼국수(여),
e_e005259,2307190003,2,2,2,2,2,,롯데월드,서울 송파구 올림픽로 300,서울 송파구 신천동 29,3123023,1171010200,2023-07-19 00:00,1,7000,마일)그래픽자석-핑크,
e_e000297,2305200005,2,0,0,1,1,4221800772,CU,서울 종로구 대학로12길 13,,4100035,1111016800,2023-05-20 18:21,1,7200,천하장사;리콜라허브레몬,
e_e000297,2305200006,1,0,0,1,1,1688101788,구스토랩,서울 종로구 대학로10길 15-11,서울 종로구 동숭동 1-63,4100033,1111016800,2023-05-20 22:17,1,46700,토마토해산물파스타;치즈포테이토샐러드;자몽;청포도,
e_e000297,2305210002,2,0,0,1,1,5601500961,헤이스윗,서울 종로구 낙산길 21,서울 종로구 동숭동 129-130,4100020,1111016800,2023-05-21 12:51,1,15000,까눌레 3000;까눌레 4구,
e_e000297,2305210003,1,0,0,1,1,7238501133,CU,서울 종로구 대학로12길 73,서울 종로구 동숭동 1-144,4100035,1111016800,2023-05-21 12:59,1,1200,컵얼음;쥬시쿨복숭아,
e_e000297,2305210005,1,0,0,1,1,7491700855,쿰피르스테이크 혜화점,서울 종로구 낙산길 7,서울 종로구 동숭동 130-43,4100020,1111016800,2023-05-21 16:02,1,11000,,
